wavelength,EYFP ex,EYFP em,EYFP 2p,ECFP ex,ECFP em,ECFP 2p,ECFP ab,mApple ex,mApple em
300,,,,0.2614,,,,0.2221,
301,,,,0.2376,,,,0.1939,
302,,,,0.2161,,,,0.1852,
303,,,,0.1955,,,,0.1502,
304,,,,0.1766,,,,0.1539,
305,,,,0.1602,,,,0.1307,
306,,,,0.1468,,,,0.1241,
307,,,,0.1355,,,,0.1064,
308,,,,0.1275,,,,0.1047,
309,,,,0.1183,,,,0.0964,
310,,,,0.1123,,,,0.0893,
311,,,,0.1075,,,,0.0956,
312,,,,0.1015,,,,0.0947,
313,,,,0.0972,,,,0.0998,
314,,,,0.0937,,,,0.1023,
315,,,,0.0912,,,,0.1048,
316,,,,0.0874,,,,0.1072,
317,,,,0.0842,,,,0.1097,
318,,,,0.0823,,,,0.1122,
319,,,,0.08,,,,0.1147,
320,,,,0.0787,,,,0.1172,
321,,,,0.0766,,,,0.1161,
322,,,,0.0736,,,,0.1213,
323,,,,0.0733,,,,0.1264,
324,,,,0.0721,,,,0.1316,
325,,,,0.0708,,,,0.141,
326,,,,0.0685,,,,0.1504,
327,,,,0.0675,,,,0.1492,
328,,,,0.0674,,,,0.1537,
329,,,,0.0649,,,,0.1583,
330,,,,0.0639,,,,0.1628,
331,,,,0.0637,,,,0.17,
332,,,,0.061,,,,0.1771,
333,,,,0.0615,,,,0.1862,
334,,,,0.0618,,,,0.1953,
335,,,,0.0598,,,,0.2044,
336,,,,0.0603,,,,0.2312,
337,,,,0.0609,,,,0.2359,
338,,,,0.0592,,,,0.2487,
339,,,,0.0596,,,,0.2618,
340,,,,0.0604,,,,0.2663,
341,,,,0.0596,,,,0.2617,
342,,,,0.0597,,,,0.2595,
343,,,,0.06,,,,0.2591,
344,,,,0.0602,,,,0.2514,
345,,,,0.0614,,,,0.2432,
346,,,,0.0618,,,,0.2413,
347,,,,0.0616,,,,0.2314,
348,,,,0.0615,,,,0.2069,
349,,,,0.0612,,,,0.2035,
350,0.0484,,,0.0626,,,,0.1797,
351,0.0483,,,0.0622,,,,0.1764,
352,0.0484,,,0.0652,,,,0.1586,
353,0.049,,,0.0706,,,,0.1622,
354,0.0497,,,0.0681,,,,0.1438,
355,0.0494,,,0.0685,,,,0.1475,
356,0.0504,,,0.071,,,,0.1295,
357,0.0508,,,0.074,,,,0.1291,
358,0.0514,,,0.0759,,,,0.1316,
359,0.0514,,,0.0778,,,,0.1316,
360,0.0514,,,0.0785,,,,0.1252,
361,0.0514,,,0.082,,,,0.1237,
362,0.0514,,,0.0828,,,,0.1222,
363,0.0514,,,0.0852,,,,0.1206,
364,0.0514,,,0.0894,,,,0.1202,
365,0.0514,,,0.092,,,,0.1192,
366,0.0514,,,0.095,,,,0.1158,
367,0.0514,,,0.0994,,,,0.1124,
368,0.0519,,,0.101,,,,0.109,
369,0.0532,,,0.1063,,,,0.1095,
370,0.0534,,,0.1103,,,,0.0962,
371,0.0534,,,0.1156,,,,0.0936,
372,0.0534,,,0.1198,,,,0.0929,
373,0.0536,,,0.1248,,,,0.081,
374,0.0541,,,0.1306,,,,0.0806,
375,0.0547,,,0.1374,,,,0.0802,
376,0.0546,,,0.1431,,,,0.0748,
377,0.0551,,,0.1512,,,,0.0695,
378,0.056,,,0.1576,,,,0.0641,
379,0.0556,,,0.1666,,,,0.0638,
380,0.0557,,,0.1741,,,,0.0603,
381,0.0566,,,0.1823,,,,0.054,
382,0.0572,,,0.1912,,,,0.0483,
383,0.0572,,,0.2008,,,,0.0493,
384,0.0586,,,0.2098,,,,0.0462,
385,0.0582,,,0.2192,,,,0.0431,
386,0.0591,,,0.2304,,,,0.0401,
387,0.0602,,,0.2412,,,,0.037,
388,0.0603,,,0.2506,,,,0.038,
389,0.0594,,,0.262,,,,0.0336,
390,0.0595,,,0.273,,,,0.0277,
391,0.0615,,,0.2857,,,,0.0245,
392,0.062,,,0.2984,,,,0.0229,
393,0.0604,,,0.311,,,,0.0219,
394,0.0589,,,0.3248,,,,0.0209,
395,0.059,,,0.3392,,,,0.0196,
396,0.0597,,,0.3535,,,,0.018,
397,0.0601,,,0.3695,,,,0.0163,
398,0.0605,,,0.3853,,,,0.0149,
399,0.0569,,,0.402,,,,0.0138,
400,0.0572,,,0.4191,,,,0.0125,
401,0.0575,,,0.4362,,,,0.0094,
402,0.0575,,,0.4549,,,,0.007,
403,0.0562,,,0.4727,,,,0.0069,
404,0.0574,,,0.4903,,,,0.0069,
405,0.0572,,,0.509,,,,0.0069,
406,0.0545,,,0.5266,,,,0.0069,
407,0.0526,,,0.5446,,,,0.0069,
408,0.0551,,,0.5625,,,,0.0069,
409,0.0538,,,0.5797,,,,0.0069,
410,0.0525,,,0.5965,,,,0.0069,
411,0.0517,,,0.6136,,,,0.0069,
412,0.0522,,,0.6297,,,,0.0072,
413,0.051,,,0.6475,,,,0.0092,
414,0.0478,,,0.6633,,,,0.0118,
415,0.048,,,0.6803,,,,0.013,
416,0.0472,,,0.6976,,,,0.0111,
417,0.0451,,,0.7161,,,,0.0067,
418,0.0448,,,0.7346,,,,0.007,
419,0.0435,,,0.7541,,,,0.0069,
420,0.0428,,,0.7724,,,,0.0074,
421,0.0425,,,0.7933,,,,0.0082,
422,0.039,,,0.8134,,,,0.0093,
423,0.0368,,,0.834,,,,0.0101,
424,0.0351,,,0.8553,,,,0.0104,
425,0.0356,,,0.876,,,,0.0103,
426,0.035,,,0.8957,,,,0.0107,
427,0.0352,,,0.9156,,,,0.0117,
428,0.0333,,,0.9333,,,,0.013,
429,0.0344,,,0.9491,,,,0.0142,
430,0.0337,,,0.9647,,,,0.0152,
431,0.0304,,,0.9764,,,,0.0156,
432,0.0302,,,0.9865,,,,0.0156,
433,0.0355,,,0.9937,0.0036,,,0.0155,
434,0.0329,,,0.9981,0.0037,,,0.0166,
435,0.0328,,,1.0,0.0044,,,0.0188,
436,0.0349,,,0.9997,0.0056,,,0.0206,
437,0.0351,,,0.9968,0.0042,,,0.0208,
438,0.0365,,,0.9936,0.0049,,,0.0207,
439,0.0382,,,0.9895,0.0051,,,0.0212,
440,0.0397,,,0.9838,0.0065,,,0.0191,
441,0.0447,,,0.9785,0.0065,,,0.0167,
442,0.0433,,,0.9732,0.0079,,,0.0181,
443,0.0461,,,0.9683,0.0093,,,0.0245,
444,0.0481,,,0.9649,0.0111,,,0.0289,
445,0.0505,,,0.9616,0.013,,,0.0294,
446,0.0539,,,0.96,0.0159,,,0.0264,
447,0.056,,,0.9594,0.0188,,,0.0233,
448,0.0601,,,0.9598,0.023,,,0.0259,
449,0.0631,,,0.9603,0.0294,,,0.0352,
450,0.0642,,,0.9617,0.035,,,0.0382,
451,0.0678,,,0.962,0.0433,,,0.0382,
452,0.0725,,,0.9619,0.0539,,,0.0411,
453,0.0753,,,0.96,0.0663,,,0.0456,
454,0.0791,,,0.9565,0.0817,,,0.0484,
455,0.0843,,,0.9494,0.1014,,,0.048,
456,0.086,,,0.9402,0.1241,,,0.0485,
457,0.092,,,0.926,0.1495,,,0.0484,
458,0.0961,,,0.908,0.1793,,,0.0501,
459,0.0991,,,0.8851,0.2144,,,0.0534,
460,0.1032,,,0.8573,0.259,,,0.0571,
461,0.1081,,,0.8248,0.3049,,,0.0599,
462,0.1132,,,0.7884,0.3587,,,0.0604,
